Id,Label,Type
390,storchs,Tier-Lemma
391,domaslaus,Tier-Lemma
392,schmeißflieg,Tier-Lemma
393,phylli,Tier-Lemma
394,bonbon,Tier-Lemma
395,stock,Tier-Lemma
396,faun,Tier-Lemma
397,hoboen,Tier-Lemma
398,hahnenfeder,Tier-Lemma
399,narr,Tier-Lemma
400,linchen,Tier-Lemma
401,hahno,Tier-Lemma
402,ei,Tier-Lemma
403,gorilla,Tier-Lemma
404,larve,Tier-Lemma
405,ochs,Tier-Lemma
406,bierkrügel,Tier-Lemma
407,krebse,Tier-Lemma
408,hirschkuh,Tier-Lemma
409,doeren,Tier-Lemma
410,bancbanus,Tier-Lemma
411,sycorax,Tier-Lemma
412,otnit,Tier-Lemma
413,kamelen,Tier-Lemma
414,reiherbüsche,Tier-Lemma
415,gustchen,Tier-Lemma
416,pfauenauges,Tier-Lemma
417,v.,Tier-Lemma
418,schmetterlingskäste,Tier-Lemma
419,pilgrim,Tier-Lemma
420,bein,Tier-Lemma
421,stieglitz,Tier-Lemma
422,gustav,Tier-Lemma
423,piramus,Tier-Lemma
424,uhugesicht,Tier-Lemma
425,froschen,Tier-Lemma
426,bernhardy,Tier-Lemma
427,brocken,Tier-Lemma
428,ecstaticus,Tier-Lemma
429,petronius,Tier-Lemma
430,filitz,Tier-Lemma
431,schwanzflossen,Tier-Lemma
432,kokarden,Tier-Lemma
433,schneckerln,Tier-Lemma
434,trinkhorn,Tier-Lemma
435,roßweiß,Tier-Lemma
436,mück,Tier-Lemma
437,tigertier,Tier-Lemma
438,tiepolos,Tier-Lemma
439,hundemaul,Tier-Lemma
440,widerhak,Tier-Lemma
441,huldinnen,Tier-Lemma
442,eselskopf,Tier-Lemma
443,schwanze,Tier-Lemma
444,kunzlin,Tier-Lemma
445,flederwisch,Tier-Lemma
446,bacchus,Tier-Lemma
447,bauch,Tier-Lemma
448,qvartier,Tier-Lemma
449,kropf,Tier-Lemma
450,bellmaus,Tier-Lemma
451,kälber,Tier-Lemma
452,schädel,Tier-Lemma
453,mükke,Tier-Lemma
454,lammsknoch,Tier-Lemma
455,pancratius,Tier-Lemma
456,gewöhr,Tier-Lemma
457,rosine,Tier-Lemma
458,genien,Tier-Lemma
459,eulalien,Tier-Lemma
460,specht,Tier-Lemma
461,maulthiere,Tier-Lemma
462,czervany,Tier-Lemma
463,wally,Tier-Lemma
464,löwenfell,Tier-Lemma
465,koketterie,Tier-Lemma
466,opfergerat,Tier-Lemma
467,esel,Tier-Lemma
468,rücken,Tier-Lemma
469,parit,Tier-Lemma
470,brüllaut,Tier-Lemma
471,cleander,Tier-Lemma
472,purpurteufel,Tier-Lemma
473,trinobant,Tier-Lemma
474,gardinchen,Tier-Lemma
475,maikäfermädche,Tier-Lemma
476,götzen-pfaffen,Tier-Lemma
477,timandra,Tier-Lemma
478,primislau,Tier-Lemma
479,chevalier,Tier-Lemma
480,fink,Tier-Lemma
481,schnauzer,Tier-Lemma
482,fuchs,Tier-Lemma
483,stallaterne,Tier-Lemma
484,amsel,Tier-Lemma
485,beym,Tier-Lemma
486,ladikä,Tier-Lemma
487,lucifer,Tier-Lemma
488,vetzier,Tier-Lemma
489,spinnenhand,Tier-Lemma
490,tatze,Tier-Lemma
491,reisekalesche,Tier-Lemma
492,brutus,Tier-Lemma
493,eichhörnchen,Tier-Lemma
494,wilde,Tier-Lemma
495,schwamm,Tier-Lemma
496,toni,Tier-Lemma
497,kopelke,Tier-Lemma
498,sporner,Tier-Lemma
499,rübchen,Tier-Lemma
500,pogatschnigg,Tier-Lemma
501,hyan,Tier-Lemma
502,heiducken,Tier-Lemma
503,wespes,Tier-Lemma
504,lado,Tier-Lemma
505,maus,Tier-Lemma
506,kamelmensche,Tier-Lemma
507,ameise,Tier-Lemma
508,aulicus,Tier-Lemma
509,schweinslederbänd,Tier-Lemma
510,leu,Tier-Lemma
511,fell,Tier-Lemma
512,species,Tier-Lemma
513,maulschelle,Tier-Lemma
514,milchkrgue,Tier-Lemma
515,ermos,Tier-Lemma
516,vogelsang,Tier-Lemma
517,soliman,Tier-Lemma
518,schwalben,Tier-Lemma
519,hündch,Tier-Lemma
520,straußes,Tier-Lemma
521,storch,Tier-Lemma
522,prätorjaner,Tier-Lemma
523,kratzfüßen,Tier-Lemma
524,horribilicribrifax,Tier-Lemma
525,flamininus,Tier-Lemma
526,rothhörner,Tier-Lemma
527,eichkätzchen,Tier-Lemma
528,manegepferd,Tier-Lemma
529,artander,Tier-Lemma
530,feder,Tier-Lemma
531,maul,Tier-Lemma
532,zachariesel,Tier-Lemma
533,birbant,Tier-Lemma
534,eule,Tier-Lemma
535,scheme,Tier-Lemma
536,ursille,Tier-Lemma
537,nüster,Tier-Lemma
538,lica,Tier-Lemma
539,rentier,Tier-Lemma
540,tyger,Tier-Lemma
541,percifal,Tier-Lemma
542,mephistopheles,Tier-Lemma
543,eulenspiegel,Tier-Lemma
544,cruzifix,Tier-Lemma
545,sackpfeifer,Tier-Lemma
546,amin,Tier-Lemma
547,scena,Tier-Lemma
548,fauteuil,Tier-Lemma
549,faust,Tier-Lemma
550,phalarius,Tier-Lemma
551,pfau,Tier-Lemma
552,jochais,Tier-Lemma
553,kratzfuß,Tier-Lemma
554,springfedern,Tier-Lemma
555,tectosag,Tier-Lemma
556,geier,Tier-Lemma
557,wurm,Tier-Lemma
558,leoparden,Tier-Lemma
559,longinus,Tier-Lemma
560,spitzbub,Tier-Lemma
561,mäster,Tier-Lemma
562,bärbelch,Tier-Lemma
563,athem,Tier-Lemma
564,spahn,Tier-Lemma
565,felldivan,Tier-Lemma
566,rappelkopf,Tier-Lemma
567,bock,Tier-Lemma
568,truthahn,Tier-Lemma
569,panieres,Tier-Lemma
570,bart-cotelett,Tier-Lemma
571,weinkaraffen,Tier-Lemma
572,paraplui,Tier-Lemma
573,hörer,Tier-Lemma
574,tierfell,Tier-Lemma
575,bestie,Tier-Lemma
576,gesicht,Tier-Lemma
577,kameelsmensch,Tier-Lemma
578,vögel,Tier-Lemma
579,gänsekeule,Tier-Lemma
580,schweigel,Tier-Lemma
581,rosamunde,Tier-Lemma
582,nymphen,Tier-Lemma
583,löwenstein,Tier-Lemma
584,eul,Tier-Lemma
585,straußenei,Tier-Lemma
586,baturin,Tier-Lemma
587,terpnus,Tier-Lemma
588,apollo,Tier-Lemma
589,stier,Tier-Lemma
590,aloe,Tier-Lemma
591,wildenten,Tier-Lemma
592,hähne,Tier-Lemma
593,p.,Tier-Lemma
594,spor,Tier-Lemma
595,herde,Tier-Lemma
596,pudel,Tier-Lemma
597,melchior,Tier-Lemma
598,bromly,Tier-Lemma
599,pferdefüßen,Tier-Lemma
600,löwenungeheuer,Tier-Lemma
601,flodoardo,Tier-Lemma
602,prothoe,Tier-Lemma
603,hanswurst,Tier-Lemma
604,straußenfedern,Tier-Lemma
605,phantastische,Tier-Lemma
606,einäugige,Tier-Lemma
607,fledern,Tier-Lemma
608,flottwell,Tier-Lemma
609,pelz,Tier-Lemma
610,viola,Tier-Lemma
611,colombine,Tier-Lemma
612,grille,Tier-Lemma
613,octavio,Tier-Lemma
614,reitersknecht,Tier-Lemma
615,dryade,Tier-Lemma
616,nachtigalle,Tier-Lemma
617,höflinge,Tier-Lemma
618,donnerkeil,Tier-Lemma
619,hirschen,Tier-Lemma
620,raubvögelschnäbel,Tier-Lemma
621,waldhörner,Tier-Lemma
622,adlerflügel,Tier-Lemma
623,skalde,Tier-Lemma
624,insekt,Tier-Lemma
625,profundus,Tier-Lemma
626,tisiphon,Tier-Lemma
627,alastor,Tier-Lemma
628,posthörner,Tier-Lemma
629,banquier,Tier-Lemma
630,frohn,Tier-Lemma
631,stiermann,Tier-Lemma
632,zayr,Tier-Lemma
633,terpsichore,Tier-Lemma
634,melpomen,Tier-Lemma
635,lenoren,Tier-Lemma
636,fafner,Tier-Lemma
637,käthche,Tier-Lemma
638,epaphroditus,Tier-Lemma
639,kakodromida,Tier-Lemma
640,kopp,Tier-Lemma
641,schwammdösche,Tier-Lemma
642,meisen,Tier-Lemma
643,alpenhörner,Tier-Lemma
644,käfervolk,Tier-Lemma
645,straußfedern,Tier-Lemma
646,kothner,Tier-Lemma
647,africanus,Tier-Lemma
648,spartacus,Tier-Lemma
649,meische,Tier-Lemma
650,füllhörnern,Tier-Lemma
651,delphin,Tier-Lemma
652,bärenfelle,Tier-Lemma
653,riesenjungfrau,Tier-Lemma
654,habicht,Tier-Lemma
655,mütze,Tier-Lemma
656,wildtauber,Tier-Lemma
657,fuchs-schwantz,Tier-Lemma
658,cordula,Tier-Lemma
659,euphrosine,Tier-Lemma
660,stier-hörner,Tier-Lemma
661,paphnutius,Tier-Lemma
662,fiedermaus,Tier-Lemma
663,kanarienvogel,Tier-Lemma
664,schlot,Tier-Lemma
665,rachen,Tier-Lemma
666,ziege,Tier-Lemma
667,wixer,Tier-Lemma
668,merkur,Tier-Lemma
669,silbergeitz,Tier-Lemma
670,hörnern,Tier-Lemma
671,mopsus,Tier-Lemma
672,ermischer,Tier-Lemma
673,herold,Tier-Lemma
674,lerchenausche,Tier-Lemma
675,puerorum,Tier-Lemma
676,knie,Tier-Lemma
677,maule,Tier-Lemma
678,milhaud,Tier-Lemma
679,pferdchum,Tier-Lemma
680,pferd,Tier-Lemma
681,vorderleib,Tier-Lemma
682,nileu,Tier-Lemma
683,vipria,Tier-Lemma
684,wildschwein,Tier-Lemma
685,affe,Tier-Lemma
686,wurmes,Tier-Lemma
687,hörnche,Tier-Lemma
688,aust,Tier-Lemma
689,vogelbauer,Tier-Lemma
690,zenger,Tier-Lemma
691,plüsch,Tier-Lemma
692,füchse,Tier-Lemma
693,seehansel,Tier-Lemma
694,fühlhorn,Tier-Lemma
695,motawackel,Tier-Lemma
696,steinböck,Tier-Lemma
697,backfisch,Tier-Lemma
698,lumpazivagabundus,Tier-Lemma
699,dorier,Tier-Lemma
700,cyprian,Tier-Lemma
701,kamel,Tier-Lemma
702,hasenkopf,Tier-Lemma
703,sporus,Tier-Lemma
704,hund,Tier-Lemma
705,widderhörner,Tier-Lemma
706,drache,Tier-Lemma
707,kopf,Tier-Lemma
708,marfisa,Tier-Lemma
709,ringelreihn,Tier-Lemma
710,flitt,Tier-Lemma
711,alpengeister,Tier-Lemma
712,satane,Tier-Lemma
713,klauen,Tier-Lemma
714,montanus,Tier-Lemma
715,dogge,Tier-Lemma
716,nachtgefährt,Tier-Lemma
717,ziethensche,Tier-Lemma
718,nympha,Tier-Lemma
719,grobitzsch,Tier-Lemma
720,rapunzel,Tier-Lemma
721,zeds,Tier-Lemma
722,stifler,Tier-Lemma
723,lacroix,Tier-Lemma
724,phönixhähne,Tier-Lemma
725,schwan,Tier-Lemma
726,schweinejung,Tier-Lemma
727,schurzfellen,Tier-Lemma
728,markgräfin,Tier-Lemma
729,rambergs,Tier-Lemma
730,spatz,Tier-Lemma
731,flaccilla,Tier-Lemma
732,biron,Tier-Lemma
733,stores,Tier-Lemma
734,floras,Tier-Lemma
735,kürassier,Tier-Lemma
736,satyr,Tier-Lemma
737,zoraide,Tier-Lemma
738,delfin,Tier-Lemma
739,wesp,Tier-Lemma
740,alvar,Tier-Lemma
741,baccalaureus,Tier-Lemma
742,asteria,Tier-Lemma
743,skaramuz,Tier-Lemma
744,schnabel,Tier-Lemma
745,nachteule,Tier-Lemma
746,pfaffe,Tier-Lemma
747,bulle,Tier-Lemma
748,kauz,Tier-Lemma
749,scävola,Tier-Lemma
750,hamster,Tier-Lemma
751,haupt,Tier-Lemma
752,cardenio,Tier-Lemma
753,kuhhorn,Tier-Lemma
754,gähner,Tier-Lemma
755,biene,Tier-Lemma
756,lukanus,Tier-Lemma
757,kokarde,Tier-Lemma
758,catilina,Tier-Lemma
759,helikanus,Tier-Lemma
760,plafond,Tier-Lemma
761,rosenbukett,Tier-Lemma
762,kolibri,Tier-Lemma
763,bauches,Tier-Lemma
764,burrus,Tier-Lemma
765,echo,Tier-Lemma
766,angel,Tier-Lemma
767,och,Tier-Lemma
768,lakai,Tier-Lemma
769,viren,Tier-Lemma
770,peniculo,Tier-Lemma
771,hannibal,Tier-Lemma
772,ziegenhirt,Tier-Lemma
773,sulpicius,Tier-Lemma
774,gefieder,Tier-Lemma
775,curio,Tier-Lemma
776,cylinder,Tier-Lemma
777,eudor,Tier-Lemma
778,ratte,Tier-Lemma
779,widder,Tier-Lemma
780,lamm,Tier-Lemma
781,jupiter,Tier-Lemma
782,korn,Tier-Lemma
783,eidechse,Tier-Lemma
784,gänseflügel,Tier-Lemma
785,sidney,Tier-Lemma
786,ohr,Tier-Lemma
787,cherusker,Tier-Lemma
788,zähnen,Tier-Lemma
789,sentas,Tier-Lemma
790,kröte,Tier-Lemma
791,hahn,Tier-Lemma
792,tannhäuser,Tier-Lemma
793,euridice,Tier-Lemma
794,kiep,Tier-Lemma
795,flipotte,Tier-Lemma
796,schürzinger,Tier-Lemma
797,auerstier,Tier-Lemma
798,silouette,Tier-Lemma
799,hausgötter,Tier-Lemma
800,justitiarius,Tier-Lemma
801,lerchenauischen,Tier-Lemma
802,riesenkalabreser,Tier-Lemma
803,pomponius,Tier-Lemma
804,kuckuck,Tier-Lemma
805,schlange,Tier-Lemma
806,delomer,Tier-Lemma
807,krumschal,Tier-Lemma
808,tigerfell,Tier-Lemma
809,meerkater,Tier-Lemma
810,messala,Tier-Lemma
811,sonnenrossen,Tier-Lemma
812,rüssel,Tier-Lemma
813,marro,Tier-Lemma
814,hase,Tier-Lemma
815,töffel,Tier-Lemma
816,kaleb,Tier-Lemma
817,hohn,Tier-Lemma
818,lämmer,Tier-Lemma
819,baßbariton,Tier-Lemma
820,tribun,Tier-Lemma
821,lerche,Tier-Lemma
822,dog,Tier-Lemma
823,fisches,Tier-Lemma
824,pfot,Tier-Lemma
825,rotschwänzche,Tier-Lemma
826,schweif,Tier-Lemma
827,camele,Tier-Lemma
828,kuh,Tier-Lemma
829,schmetterlingskinderschar,Tier-Lemma
830,didier,Tier-Lemma
831,elefant,Tier-Lemma
832,metellus,Tier-Lemma
833,getier,Tier-Lemma
834,barsch,Tier-Lemma
835,zähn,Tier-Lemma
836,oedipus,Tier-Lemma
837,oelzweig,Tier-Lemma
838,mohr,Tier-Lemma
839,deg,Tier-Lemma
840,wurmdoktor,Tier-Lemma
841,baculus,Tier-Lemma
842,scaramuccio,Tier-Lemma
843,hucke,Tier-Lemma
844,waldhörnern,Tier-Lemma
845,bonapart,Tier-Lemma
846,capitain,Tier-Lemma
847,adler,Tier-Lemma
848,froschgequak,Tier-Lemma
849,minothaurus,Tier-Lemma
850,lip,Tier-Lemma
851,aktenhund,Tier-Lemma
852,moriwescha,Tier-Lemma
853,geselle,Tier-Lemma
854,murmeltier,Tier-Lemma
855,tattabauci,Tier-Lemma
856,glahn,Tier-Lemma
857,taue,Tier-Lemma
858,nack,Tier-Lemma
859,rindvieh,Tier-Lemma
860,rhinocerus,Tier-Lemma
861,lenchen,Tier-Lemma
862,erdweibchen,Tier-Lemma
863,phryxus,Tier-Lemma
864,hartwig,Tier-Lemma
865,ziack,Tier-Lemma
866,wenger,Tier-Lemma
867,hubert,Tier-Lemma
868,delfine,Tier-Lemma
869,lar,Tier-Lemma
870,packan,Tier-Lemma
871,sicamber,Tier-Lemma
872,rattenschwanz,Tier-Lemma
873,nero,Tier-Lemma
