Source,Target,Weight,Type
2977,3118,1,occurs_in_speaker_text
361,3118,1,occurs_in_speaker_text
1880,3118,1,occurs_in_speaker_text
1611,3118,2,occurs_in_speaker_text
2279,3118,1,occurs_in_speaker_text
1045,3118,1,occurs_in_speaker_text
267,3118,1,occurs_in_speaker_text
2610,3118,1,occurs_in_speaker_text
2518,3118,1,occurs_in_speaker_text
2380,3118,1,occurs_in_speaker_text
2402,3118,1,occurs_in_speaker_text
468,3118,1,occurs_in_speaker_text
1588,3118,1,occurs_in_speaker_text
2746,3118,1,occurs_in_speaker_text
3021,3118,1,occurs_in_speaker_text
1848,3118,1,occurs_in_speaker_text
624,3118,2,occurs_in_speaker_text
1460,3118,1,occurs_in_speaker_text
275,3118,1,occurs_in_speaker_text
2664,3118,1,occurs_in_speaker_text
1051,3119,1,occurs_in_speaker_text
1034,3119,1,occurs_in_speaker_text
1359,3119,1,occurs_in_speaker_text
2034,3119,1,occurs_in_speaker_text
2263,3119,2,occurs_in_speaker_text
222,3119,1,occurs_in_speaker_text
1280,3119,1,occurs_in_speaker_text
222,3120,12,occurs_in_speaker_text
1034,3120,3,occurs_in_speaker_text
575,3120,1,occurs_in_speaker_text
677,3120,1,occurs_in_speaker_text
1320,3120,1,occurs_in_speaker_text
1051,3120,1,occurs_in_speaker_text
448,3120,1,occurs_in_speaker_text
2076,3120,1,occurs_in_speaker_text
850,3121,1,occurs_in_speaker_text
670,3121,1,occurs_in_speaker_text
1034,3121,8,occurs_in_speaker_text
1434,3121,1,occurs_in_speaker_text
787,3121,1,occurs_in_speaker_text
752,3121,2,occurs_in_speaker_text
666,3121,1,occurs_in_speaker_text
1823,3121,2,occurs_in_speaker_text
2539,3121,1,occurs_in_speaker_text
484,3121,1,occurs_in_speaker_text
266,3121,1,occurs_in_speaker_text
222,3121,1,occurs_in_speaker_text
577,3122,1,occurs_in_speaker_text
1034,3122,22,occurs_in_speaker_text
1293,3122,1,occurs_in_speaker_text
666,3122,7,occurs_in_speaker_text
2254,3122,3,occurs_in_speaker_text
604,3122,1,occurs_in_speaker_text
932,3122,1,occurs_in_speaker_text
667,3122,1,occurs_in_speaker_text
277,3122,1,occurs_in_speaker_text
312,3122,1,occurs_in_speaker_text
1823,3122,2,occurs_in_speaker_text
2650,3122,2,occurs_in_speaker_text
2095,3122,1,occurs_in_speaker_text
891,3122,2,occurs_in_speaker_text
2633,3122,1,occurs_in_speaker_text
1146,3122,1,occurs_in_speaker_text
752,3122,4,occurs_in_speaker_text
52,3122,1,occurs_in_speaker_text
809,3122,1,occurs_in_speaker_text
130,3122,1,occurs_in_speaker_text
382,3122,1,occurs_in_speaker_text
2214,3122,1,occurs_in_speaker_text
1611,3122,1,occurs_in_speaker_text
445,3122,1,occurs_in_speaker_text
666,3123,2,occurs_in_speaker_text
1034,3123,7,occurs_in_speaker_text
2285,3123,1,occurs_in_speaker_text
1521,3123,2,occurs_in_speaker_text
2805,3123,1,occurs_in_speaker_text
222,3123,5,occurs_in_speaker_text
2360,3123,1,occurs_in_speaker_text
1876,3123,1,occurs_in_speaker_text
752,3123,1,occurs_in_speaker_text
2664,3123,2,occurs_in_speaker_text
1168,3123,1,occurs_in_speaker_text
2477,3123,1,occurs_in_speaker_text
1260,3123,1,occurs_in_speaker_text
2228,3123,1,occurs_in_speaker_text
1250,3123,1,occurs_in_speaker_text
856,3123,1,occurs_in_speaker_text
222,3124,16,occurs_in_speaker_text
1194,3124,13,occurs_in_speaker_text
2941,3124,8,occurs_in_speaker_text
2193,3124,13,occurs_in_speaker_text
1041,3124,4,occurs_in_speaker_text
1703,3124,5,occurs_in_speaker_text
1034,3124,15,occurs_in_speaker_text
2878,3124,1,occurs_in_speaker_text
666,3124,3,occurs_in_speaker_text
2263,3124,4,occurs_in_speaker_text
2477,3124,1,occurs_in_speaker_text
183,3124,2,occurs_in_speaker_text
1357,3124,1,occurs_in_speaker_text
2790,3124,1,occurs_in_speaker_text
2360,3124,4,occurs_in_speaker_text
1876,3124,3,occurs_in_speaker_text
752,3124,1,occurs_in_speaker_text
2380,3124,1,occurs_in_speaker_text
891,3124,4,occurs_in_speaker_text
1535,3124,1,occurs_in_speaker_text
2645,3124,1,occurs_in_speaker_text
1801,3124,2,occurs_in_speaker_text
2355,3124,1,occurs_in_speaker_text
1250,3124,1,occurs_in_speaker_text
1823,3124,1,occurs_in_speaker_text
2907,3124,1,occurs_in_speaker_text
382,3124,2,occurs_in_speaker_text
2393,3124,1,occurs_in_speaker_text
1263,3124,1,occurs_in_speaker_text
87,3124,1,occurs_in_speaker_text
974,3124,1,occurs_in_speaker_text
331,3124,1,occurs_in_speaker_text
2878,3125,1,occurs_in_speaker_text
222,3125,7,occurs_in_speaker_text
666,3125,1,occurs_in_speaker_text
1051,3125,2,occurs_in_speaker_text
2477,3125,1,occurs_in_speaker_text
348,3125,1,occurs_in_speaker_text
550,3125,2,occurs_in_speaker_text
856,3125,1,occurs_in_speaker_text
1263,3125,1,occurs_in_speaker_text
1316,3126,9,occurs_in_speaker_text
2894,3126,2,occurs_in_speaker_text
575,3126,1,occurs_in_speaker_text
2518,3126,1,occurs_in_speaker_text
1001,3126,1,occurs_in_speaker_text
752,3126,1,occurs_in_speaker_text
1034,3126,4,occurs_in_speaker_text
52,3126,1,occurs_in_speaker_text
