Id,Label,Type
632,schwefel-pful,Pflanze-Lemma
633,apfelbaum,Pflanze-Lemma
634,primislaus,Pflanze-Lemma
635,maurentum,Pflanze-Lemma
636,liljen,Pflanze-Lemma
637,pflanzenschling,Pflanze-Lemma
638,düpfele,Pflanze-Lemma
639,heusercher,Pflanze-Lemma
640,kümmel,Pflanze-Lemma
641,samenkörnche,Pflanze-Lemma
642,blümeln,Pflanze-Lemma
643,lorbeerhaine,Pflanze-Lemma
644,beyde,Pflanze-Lemma
645,liß,Pflanze-Lemma
646,haber,Pflanze-Lemma
647,vogelbeere,Pflanze-Lemma
648,alcimna,Pflanze-Lemma
649,scipio,Pflanze-Lemma
650,entree,Pflanze-Lemma
651,maiwurm,Pflanze-Lemma
652,graup,Pflanze-Lemma
653,fiber,Pflanze-Lemma
654,strümpfen,Pflanze-Lemma
655,feist,Pflanze-Lemma
656,buchenlaub,Pflanze-Lemma
657,tannhäuser,Pflanze-Lemma
658,aeußre,Pflanze-Lemma
659,blumen-krantz,Pflanze-Lemma
660,dornenriß,Pflanze-Lemma
661,extrablatt,Pflanze-Lemma
662,gräslich,Pflanze-Lemma
663,kienwurzeln,Pflanze-Lemma
664,zweigling,Pflanze-Lemma
665,lustgebüsch,Pflanze-Lemma
666,cylinderhut,Pflanze-Lemma
667,grame,Pflanze-Lemma
668,zeller,Pflanze-Lemma
669,gänshäute,Pflanze-Lemma
670,weint,Pflanze-Lemma
671,schlehstamm,Pflanze-Lemma
672,flatterstaat,Pflanze-Lemma
673,ringelblum,Pflanze-Lemma
674,läst,Pflanze-Lemma
675,blumenfessel,Pflanze-Lemma
676,weltbaum,Pflanze-Lemma
677,zichorien,Pflanze-Lemma
678,casinum,Pflanze-Lemma
679,limone,Pflanze-Lemma
680,cactussäulen,Pflanze-Lemma
681,theobroma-cacao,Pflanze-Lemma
682,eleonora,Pflanze-Lemma
683,blumenblätter,Pflanze-Lemma
684,hanfhalm,Pflanze-Lemma
685,faulbaum,Pflanze-Lemma
686,blumenkränzlein,Pflanze-Lemma
687,noth,Pflanze-Lemma
688,blütenzweige,Pflanze-Lemma
689,labsal,Pflanze-Lemma
690,christine,Pflanze-Lemma
691,friedmann,Pflanze-Lemma
692,getreidekümmel,Pflanze-Lemma
693,schwerd,Pflanze-Lemma
694,schafställ,Pflanze-Lemma
695,treibhauspflanze,Pflanze-Lemma
696,wiesengrün,Pflanze-Lemma
697,burzelbaum,Pflanze-Lemma
698,rosolie,Pflanze-Lemma
699,satana,Pflanze-Lemma
700,dornbusch,Pflanze-Lemma
701,haf'n,Pflanze-Lemma
702,bulweiben,Pflanze-Lemma
703,bährenhäuter,Pflanze-Lemma
704,cohortenlanz,Pflanze-Lemma
705,elba,Pflanze-Lemma
706,drudenfuß,Pflanze-Lemma
707,schiffsholz,Pflanze-Lemma
708,erlenkroner,Pflanze-Lemma
709,orkus,Pflanze-Lemma
710,sternenlaube,Pflanze-Lemma
711,erlengebüsch,Pflanze-Lemma
712,riesenpaläste,Pflanze-Lemma
713,hochbaum,Pflanze-Lemma
714,baumiller,Pflanze-Lemma
715,heu'r,Pflanze-Lemma
716,lorbeere,Pflanze-Lemma
717,erdbeerbeet,Pflanze-Lemma
718,edelweißstrauß,Pflanze-Lemma
719,rain,Pflanze-Lemma
720,weidenstab,Pflanze-Lemma
721,billet,Pflanze-Lemma
722,kunstblum,Pflanze-Lemma
723,segenstrank,Pflanze-Lemma
724,hullala,Pflanze-Lemma
725,weihrauchdüfte,Pflanze-Lemma
726,kartoffelkraut,Pflanze-Lemma
727,zitron,Pflanze-Lemma
728,bärnhäuter,Pflanze-Lemma
729,parzen,Pflanze-Lemma
730,christum,Pflanze-Lemma
731,lorbeerwipfel,Pflanze-Lemma
732,zuspeis,Pflanze-Lemma
733,besemkraut,Pflanze-Lemma
734,wegras,Pflanze-Lemma
735,wunderblüte,Pflanze-Lemma
736,lachsalve,Pflanze-Lemma
737,fuß,Pflanze-Lemma
738,äon,Pflanze-Lemma
739,rosenwolk,Pflanze-Lemma
740,süd,Pflanze-Lemma
741,getreidekörner,Pflanze-Lemma
742,cymbel,Pflanze-Lemma
743,philosoph,Pflanze-Lemma
